"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 23 09:14:07 CST 2020","Thu Apr 23 09:14:10 CST 2020","2249","test_case","test_login_getVar","","","","test_login",""
"passed","Thu Apr 23 09:14:05 CST 2020","Thu Apr 23 09:14:07 CST 2020","1960","test_case","test_login","","","","test_login",""
"passed","Thu Apr 23 11:42:08 CST 2020","Thu Apr 23 11:42:08 CST 2020","204","test_case","test_12306_find","","","","test_find12306_care",""
"passed","Thu Apr 23 11:42:15 CST 2020","Thu Apr 23 11:42:17 CST 2020","2543","test_case","test_login_getVar","","","","test_login_pass",""
"passed","Thu Apr 23 11:42:18 CST 2020","Thu Apr 23 11:42:20 CST 2020","2864","test_case","test_login_getVar","","","","test_login_name_error",""
"passed","Thu Apr 23 11:42:23 CST 2020","Thu Apr 23 11:42:26 CST 2020","3344","test_case","test_login_getVar","","","","test_add_address","
    登录后向个人信息中添加收货地址
    :return:
    "
"passed","Thu Apr 23 11:42:11 CST 2020","Thu Apr 23 11:42:13 CST 2020","2264","test_case","test_login","","","","test_login_name_error",""
"passed","Thu Apr 23 11:42:20 CST 2020","Thu Apr 23 11:42:23 CST 2020","2350","test_case","test_login_getVar","","","","test_login_pass_error",""
"passed","Thu Apr 23 11:42:13 CST 2020","Thu Apr 23 11:42:15 CST 2020","2084","test_case","test_login","","","","test_login_pass_error",""
"passed","Thu Apr 23 11:42:08 CST 2020","Thu Apr 23 11:42:11 CST 2020","2436","test_case","test_login","","","","test_login_pass",""
